Date,ETF name,Open,High,Low,Close,Volume
2018,DRIV,14.388566134507661,14.508866304739618,14.388566134507661,14.473817825317385,57400
2018,DRIV,14.388566134507661,14.508866304739618,14.388566134507661,14.473817825317385,6200
2018,DRIV,14.502236518650939,14.502236518650939,14.341205738309185,14.359203338623047,817400
2018,DRIV,14.341206284144087,14.341206284144087,14.175439191793913,14.205750465393065,72200
2018,DRIV,14.237007909612643,14.237007909612643,14.047560210542994,14.066505432128904,14200
2018,DRIV,14.170702601985726,14.199119533335306,13.905475801554402,13.914947509765625,9600
2018,DRIV,13.896002425124626,13.943364577005664,13.791806413672655,13.897896766662598,8400
2018,DRIV,14.075977970876028,14.142285346984863,13.990727178778286,14.142285346984865,5000
2018,DRIV,14.199118617708828,14.199118617708828,14.038087844848633,14.038087844848633,5100
2018,DRIV,14.189647575282915,14.189647575282915,13.971782919305587,13.981255531311035,9900
2018,DRIV,13.886530443132793,14.028616905212402,13.867586123536949,14.028616905212402,12200
2018,DRIV,14.0949231420538,14.123340072649164,14.019144058227539,14.019144058227539,12400
2018,DRIV,13.896003826239573,14.075978937504695,13.829697348935273,14.042825698852539,12400
2018,DRIV,14.06745239820408,14.234167098999025,14.06745239820408,14.234167098999025,5200
2018,DRIV,14.284371910097885,14.340259056312863,14.25690169658398,14.265427589416506,13100
2018,DRIV,14.227536745912762,14.284370606126735,14.227536745912762,14.232272148132324,11000
2018,DRIV,14.350678130558677,14.397093567280855,14.275846665002241,14.381937026977539,10200
2018,DRIV,14.625375663393012,14.625375663393012,14.46434579951153,14.569488525390625,20600
2018,DRIV,14.596960285973614,14.643374818280414,14.55149337617342,14.574226379394533,9200
2018,DRIV,14.672739090791962,14.705892327517825,14.634849548339846,14.634849548339846,33500
2018,DRIV,14.51170736530416,14.51170736530416,14.439717871679804,14.473817825317385,6600
2018,DRIV,14.615905478532564,14.655689363283374,14.554334406397095,14.641480445861815,5700
2018,DRIV,14.66326559801477,14.720100359955909,14.569488918330304,14.594117164611815,8600
2018,DRIV,14.56854379344766,14.601697031808724,14.549598569608195,14.563807487487793,11800
2018,DRIV,14.691685035094824,14.701157647012467,14.625377655029302,14.625377655029295,9100
2018,DRIV,14.77693594775315,14.77693594775315,14.672739028930662,14.672739028930664,25300
2018,DRIV,14.540126502442712,14.568543434143065,14.445402192297573,14.568543434143065,16900
2018,DRIV,14.530652872293006,14.530652872293006,14.3980390280564,14.50981330871582,12700
2018,DRIV,14.416985274727715,14.492764361574908,14.416985274727715,14.469082832336426,4900
2018,DRIV,14.284370719089036,14.379095024671981,14.213327941580793,14.255953788757324,13600
2018,DRIV,14.369623075053715,14.407512618359833,14.326997225914589,14.380990028381348,10400
2018,DRIV,14.511708572319677,14.511708572319677,14.322260856628418,14.322260856628418,18000
2018,DRIV,14.492763878610887,14.553387326739992,14.492763878610887,14.54959774017334,8300
2018,DRIV,14.63484972145066,14.682211875915527,14.630113415668378,14.682211875915527,8600
2018,DRIV,14.7295736708036,14.748517990112305,14.686947823161592,14.748517990112305,5000
2018,DRIV,14.871659514338385,14.90007644552875,14.767463497735074,14.881132125854492,12300
2018,DRIV,14.931334681282737,14.947437939477195,14.7958797753461,14.85271453857422,12200
2018,DRIV,14.795880991938974,14.795880991938974,14.75799144779073,14.794934272766113,9400
2018,DRIV,14.805354771115274,14.862188640139609,14.786409545868453,14.83377170562744,25900
2018,DRIV,14.833770458673355,14.833770458673355,14.722943791041562,14.739047050476074,9000
2018,DRIV,14.733362824208509,14.805353227266624,14.733362824208509,14.767463684082033,4600
2018,DRIV,14.768409931897516,14.795880143420973,14.739046282136922,14.748517990112305,11600
2018,DRIV,14.68221170224448,14.68221170224448,14.596960005887725,14.634849548339846,12700
2018,DRIV,14.56854379023941,14.634850266946945,14.481397747984655,14.625377655029295,12200
2018,DRIV,14.445401972160866,14.445401972160866,14.219011434445939,14.39803981781006,10500
2018,DRIV,14.435928108461807,14.445400719181915,14.379094250856914,14.4264554977417,15400
2018,DRIV,14.45487295977667,14.45487295977667,14.208590507507324,14.208590507507324,6900
2018,DRIV,14.227537042908134,14.255953973608316,14.145126408169107,14.203855514526367,13200
2018,DRIV,14.057033672300761,14.057033672300761,13.734972112706913,13.820223808288574,11700
2018,DRIV,13.914945838970072,13.97083297581661,13.857164360708747,13.924418449401855,2500
2018,DRIV,13.962309365352715,14.028616741559524,13.810751196922181,13.820223808288574,16300
2018,DRIV,13.66866499197185,13.678136699531347,13.593832630425467,13.630775451660154,2000
2018,DRIV,13.820223932000534,13.839168251544962,13.744444847106935,13.744444847106935,5500
2018,DRIV,13.630774598368847,13.68381977081299,13.592885060429053,13.683819770812988,7400
2018,DRIV,13.726446958789447,13.734024325105107,13.611830711364744,13.611830711364744,3300
2018,DRIV,13.809804775323336,13.809804775323336,13.791807174682615,13.791807174682615,800
2018,DRIV,13.829695055157563,13.952835377339358,13.829695055157563,13.924418449401855,4400
2018,DRIV,14.057033586254734,14.083556175231935,13.99546251610801,14.083556175231935,5900
2018,DRIV,14.123340063065585,14.180174827575685,14.066506201913425,14.180174827575685,7500
2018,DRIV,14.009672356262028,14.009672356262028,13.886531111211909,13.896003723144533,3800
2018,DRIV,14.019142824418664,14.057979082030876,13.93389113677754,14.044717788696287,1400
2018,DRIV,14.066507104411773,14.08355708317975,14.009672336255193,14.057034492492676,3900
2018,DRIV,14.057033756529348,14.057033756529348,13.972729682922365,13.972729682922365,8700
2018,DRIV,13.981254628350115,14.141337786128249,13.96230940556277,14.104395866394045,5000
