Date,ETF name,Year Month Day,Open,High,Low,Close,Volume
2018-04-17,DRIV,2018-04-17,14.388566134507661,14.508866304739621,14.388566134507661,14.473817825317383,57400
2018-04-18,DRIV,2018-04-18,14.388566134507661,14.508866304739621,14.388566134507661,14.473817825317383,6200
2018-04-19,DRIV,2018-04-19,14.502236518650939,14.502236518650939,14.341205738309183,14.359203338623047,817400
2018-04-20,DRIV,2018-04-20,14.341206284144087,14.341206284144087,14.175439191793915,14.205750465393066,72200
2018-04-23,DRIV,2018-04-23,14.237007909612643,14.237007909612643,14.047560210542997,14.066505432128906,14200
2018-04-24,DRIV,2018-04-24,14.170702601985727,14.199119533335308,13.905475801554406,13.914947509765625,9600
2018-04-25,DRIV,2018-04-25,13.896002425124623,13.943364577005665,13.791806413672655,13.897896766662598,8400
2018-04-26,DRIV,2018-04-26,14.07597797087603,14.142285346984862,13.990727178778284,14.142285346984863,5000
2018-04-27,DRIV,2018-04-27,14.199118617708827,14.199118617708827,14.038087844848633,14.038087844848633,5100
2018-04-30,DRIV,2018-04-30,14.189647575282917,14.189647575282917,13.971782919305587,13.981255531311035,9900
2018-05-01,DRIV,2018-05-01,13.886530443132795,14.028616905212402,13.86758612353695,14.028616905212402,12200
2018-05-02,DRIV,2018-05-02,14.094923142053801,14.123340072649166,14.019144058227539,14.019144058227539,12400
2018-05-03,DRIV,2018-05-03,13.896003826239577,14.075978937504694,13.829697348935271,14.042825698852539,12400
2018-05-04,DRIV,2018-05-04,14.067452398204082,14.234167098999023,14.067452398204082,14.234167098999023,5200
2018-05-07,DRIV,2018-05-07,14.284371910097885,14.340259056312862,14.25690169658398,14.265427589416504,13100
2018-05-08,DRIV,2018-05-08,14.227536745912762,14.284370606126737,14.227536745912762,14.232272148132324,11000
2018-05-09,DRIV,2018-05-09,14.350678130558675,14.397093567280855,14.27584666500224,14.381937026977539,10200
2018-05-10,DRIV,2018-05-10,14.625375663393013,14.625375663393013,14.46434579951153,14.569488525390625,20600
2018-05-11,DRIV,2018-05-11,14.596960285973612,14.643374818280417,14.55149337617342,14.574226379394531,9200
2018-05-14,DRIV,2018-05-14,14.672739090791962,14.705892327517823,14.634849548339844,14.634849548339844,33500
2018-05-15,DRIV,2018-05-15,14.51170736530416,14.51170736530416,14.439717871679806,14.473817825317383,6600
2018-05-16,DRIV,2018-05-16,14.615905478532564,14.655689363283377,14.554334406397096,14.641480445861816,5700
2018-05-17,DRIV,2018-05-17,14.66326559801477,14.72010035995591,14.569488918330304,14.594117164611816,8600
2018-05-18,DRIV,2018-05-18,14.568543793447658,14.601697031808726,14.549598569608195,14.563807487487793,11800
