Date,ETF,Average High,High (Percent Change),Average Volume,Volume (Percent Change)
2020-12,VCAR,12.95803405360841,0.0,16333.333333333334,0.0
2021-01,VCAR,15.000368433482041,3.2635285035426946,17763.157894736843,-10.408695652173915
2021-02,VCAR,13.943619624300355,-0.4705496568973132,7894.736842105263,-3.105769230769229
2021-03,VCAR,11.843421731369334,-2.8730262613829423,5456.521739130435,-14.01149425287356
2021-04,VCAR,12.017205802154155,-1.7623524012290663,8380.952380952382,35.205882352941174
2021-05,VCAR,10.760897299662458,0.5993139382156798,9045.0,-8.131868131868135
2021-06,VCAR,11.075765299509673,-2.0299232617720677,1681.8181818181818,-18.333333333333336
2021-07,VCAR,11.566553304303838,1.7230749977060402,2566.6666666666665,2.3333333333333344
2021-08,VCAR,11.75290183708729,0.3053482681063575,1045.4545454545455,19.799999999999997
2021-09,VCAR,11.843217492205023,0.3646084137818444,576.1904761904761,-9.94736842105263
2021-10,VCAR,12.749456681182199,-0.9786676192705943,11857.142857142857,-16.800000000000004
2021-11,VCAR,17.496584032452468,10.102409308523209,65095.23809523809,7444.5
2021-12,VCAR,15.814000794132367,0.6775133260885409,19150.0,-7.890295358649786
2022-01,VCAR,14.836674738806092,-0.27057387003109223,26550.0,-3.464912280701755
2022-02,VCAR,12.977961613054697,-4.364572479500881,17226.315789473683,-14.061007957559676
2022-03,VCAR,13.03771680616219,-1.4929530736060839,10526.08695652174,-17.83673469387755
2022-04,VCAR,12.93454999923706,3.0264355014009237,3865.0,22.72727272727273
2022-05,VCAR,10.78614280337379,-4.391701476988256,3976.190476190476,-7.148936170212771
2022-06,VCAR,10.373428617204938,-1.167890295763296,2780.9523809523807,98.90322580645157
2022-07,VCAR,9.420899963378906,-3.333333627677251,1255.0,-19.661016949152533
2022-08,VCAR,10.288333257039389,0.40333334604899096,1699.0,34.0
