Date,Average Price,Percent Change(month)
2003-01,30.33636363636364,0.0
2003-02,31.6435,1.2504070335395667
2003-03,29.44,-3.48176524670549
2003-04,25.239047619047614,-2.700220426157239
2003-05,25.629545454545454,2.77318718381113
2003-06,26.77857142857143,0.31448895544739885
2003-07,27.50130434782609,0.34784212467724207
2003-08,28.694285714285716,1.0530523255813937
2003-09,26.150909090909092,-1.5833910034602074
2003-10,28.349130434782616,0.30014914243102275
2003-11,28.482499999999998,0.9422156790577807
2003-12,29.569523809523805,1.0481546572934963
2004-01,30.264761904761908,-0.8366253766320731
2004-02,29.628499999999995,1.7085076708507652
2004-03,32.22652173913043,0.26598136845486486
2004-04,32.26380952380952,1.6671959352175296
2004-05,36.36571428571429,1.3468667255075002
2004-06,34.49045454545455,-2.1227536632568427
2004-07,36.30681818181819,4.045899632802934
2004-08,40.419090909090905,-0.3070560868441452
2004-09,40.212727272727264,3.0217562254259525
2004-10,45.08380952380952,0.0
2004-11,38.594545454545454,-1.835445955289237
2004-12,35.8491304347826,-1.9316067387478029
2005-01,40.52380952380953,2.605544880592921
2005-02,42.197500000000005,2.593406593406593
2005-03,49.49454545454546,1.8880242109814076
2005-04,49.51047619047618,-0.9741190523591473
2005-05,46.654545454545456,-0.13778705636743105
2005-06,51.691363636363626,2.0382352941176447
2005-07,53.182380952380946,0.8842530282637979
2005-08,57.822608695652164,2.928044280442803
2005-09,58.04772727272727,-1.10900163666121
2005-10,54.34619047619047,-1.8205791106515004
2005-11,51.13181818181818,-1.3700698244951903
2005-12,52.6352380952381,1.597504528074059
2006-01,58.48380952380952,2.7217131101552265
2006-02,56.617999999999995,-1.4536423841059598
2006-03,57.8713043478261,2.1189073379753633
2006-04,64.44052631578947,1.3387281347065554
2006-05,65.11304347826085,-0.2107513744654882
2006-06,64.59772727272727,0.8172009864365037
2006-07,68.88809523809523,0.35265269728042514
2006-08,68.80739130434783,-1.0891552177725794
2006-09,59.34428571428572,-2.513040810064437
2006-10,54.97,-1.5374695015684936
2006-11,55.42227272727271,2.2012366498032607
2006-12,57.947500000000005,-0.9334014648271172
2007-01,50.79272727272728,-1.3167768447382535
2007-02,54.5615,1.5469403268719129
2007-03,58.590454545454556,2.7553360381019587
2007-04,63.548,0.14735852014422512
2007-05,64.48304347826087,0.06800497976968711
2007-06,66.88999999999999,1.1632273079906859
2007-07,71.89272727272727,1.468391649514849
2007-08,68.70826086956521,-0.9065600882028656
2007-09,74.1765,2.218077474892395
2007-10,79.31695652173913,2.177321451633735
2007-11,88.84272727272727,0.24917413874468908
2007-12,87.054,1.161922538497433
2008-01,88.35136363636363,-0.6743109151047408
2008-02,90.64380952380954,2.013535031847133
2008-03,99.02749999999999,0.47327451997924097
2008-04,105.16318181818184,1.9405860285917056
2008-05,119.38818181818182,2.941395695518496
2008-06,128.33333333333334,2.4765779092702154
2008-07,131.22173913043477,-2.2910387414540896
2008-08,112.4104761904762,-1.928886348791639
2008-09,96.84590909090912,-4.135754742425604
2008-10,69.16260869565217,-8.37544286979628
2008-11,49.7555,-3.5556329444541204
2008-12,38.59761904761905,-5.176620076238882
2009-01,41.54190476190477,3.801011804384487
2009-02,41.409000000000006,0.5759162303664889
2009-03,45.78045454545454,1.7404580152671745
2009-04,50.202857142857155,1.6700964630225097
2009-05,56.97714285714286,5.566918189038922
2009-06,68.36181818181818,2.020091037513733
2009-07,64.58826086956522,-0.32073030477285713
2009-08,71.34809523809524,0.5449774019536378
2009-09,67.17000000000002,-1.5068921415375898
2009-10,72.6690909090909,3.3595728451563716
2009-11,76.28714285714285,0.18065113816834
2009-12,74.01136363636361,0.2742422254297341
2010-01,76.01050000000001,-1.594090202177291
2010-02,72.98949999999999,1.0111251936346966
2010-03,77.21304347826086,1.264075067024132
2010-04,82.3342857142857,1.4489199491740776
2010-05,74.48428571428572,-3.0577677404017614
2010-06,72.945,0.18670005564830117
2010-07,72.5072727272727,0.5887708649468952
2010-08,74.15181818181819,-0.6029826682789212
2010-09,74.63454545454546,1.5468987429202952
2010-10,79.85714285714288,0.5258131130614327
2010-11,82.83409090909089,1.1717451523545708
2010-12,88.55652173913046,1.4682606096832016
2011-01,92.82666666666667,1.543319474098214
2011-02,100.2855,2.7153773683659566
2011-03,109.83739130434783,0.6189861751152084
2011-04,118.0925,1.6029438161909892
2011-05,109.935,-1.6726215205650163
2011-06,109.04363636363637,-0.732014388489209
2011-07,111.62190476190474,0.9142325581395383
2011-08,106.32434782608696,-0.1599215546443209
2011-09,107.61181818181818,-1.9412926391382426
2011-10,106.28857142857143,1.147484493452792
2011-11,110.08045454545454,0.6695294996265861
2011-12,107.34428571428572,-0.6734915745606063
2012-01,111.7609523809524,0.8589479595657048
2012-02,117.47904761904766,1.8090099811168063
2012-03,122.97363636363637,0.018213428263928133
2012-04,118.184,-0.610472330217553
2012-05,108.07260869565216,-3.167406143344711
2012-06,93.98238095238096,-1.676924599247973
2012-07,99.54590909090908,2.1836756640499013
2012-08,109.51739130434783,2.0137937781256126
2012-09,110.674,-0.26805792929747163
2012-10,108.35608695652174,-0.7381473377097034
2012-11,106.85500000000002,0.50357950263753
2012-12,106.549,-0.15286858826779604
2013-01,109.2840909090909,0.9268745360059389
2013-02,112.74499999999998,-0.6553873552983069
2013-03,106.44200000000001,-0.2559381329405275
2013-04,101.05409090909089,-1.3499953371258027
2013-05,100.65130434782607,-0.4273224043715862
2013-06,101.03000000000002,0.40494027130998145
2013-07,104.45217391304347,0.956241317721771
2013-08,107.5190909090909,1.3790606840049513
