Date,ETF,Average High,High (Percent Change),Average Volume,Volume (Percent Change)
2019-04,IDRV,24.523454532072144,0.0,475.0,0.0
2019-05,IDRV,22.621481458030885,-0.31465497974274204,1163.6363636363637,11.0
2019-06,IDRV,22.306188157346742,-2.7678413983010497,800.0,-6.666666666666665
2019-07,IDRV,23.267838731413317,2.62742164141809,904.5454545454545,-11.0
2019-08,IDRV,22.032767499914925,-0.1172112730888708,977.2727272727273,902.0
2019-09,IDRV,23.30895201518326,-1.264933997713964,315.0,-19.047619047619047
2019-10,IDRV,23.655496724803506,1.1684597824718579,1604.3478260869565,126.5
2019-11,IDRV,25.601939979508007,1.7580583768682745,1950.0,-7.692307692307695
2019-12,IDRV,26.074340740835936,0.25452001061940743,2861.904761904762,68.25
2020-01,IDRV,27.046990867453804,1.3356311434356818,7128.571428571428,29.6470588235294
2020-02,IDRV,27.244029159456552,-0.20571195535290931,13531.578947368422,-10.426829268292684
2020-03,IDRV,21.541452129401716,-1.0616014462475563,10109.09090909091,29.729729729729723
2020-04,IDRV,21.99292759096661,-4.720245138536317,5638.0952380952385,-7.724137931034479
2020-05,IDRV,23.975477144021717,3.183833875901092,6335.0,-3.2727272727272725
2020-06,IDRV,27.25470048954655,2.9370758058511024,16127.272727272728,23.43478260869565
2020-07,IDRV,29.209213597606865,1.3268478946064852,25240.909090909092,-11.578947368421057
2020-08,IDRV,31.71973427562741,1.8771373128485207,44933.333333333336,234.26666666666674
2020-09,IDRV,32.71104920397896,2.6567496296725515,35428.57142857143,1.2285191956124322
2020-10,IDRV,34.161109835774845,-0.2668611975325452,32800.0,-15.388601036269437
2020-11,IDRV,37.45553650397622,0.13336536713855374,70765.0,30.6896551724138
2020-12,IDRV,41.17764466068624,4.378945437769664,101731.81818181818,19.405895691609974
2021-01,IDRV,45.26215022634725,1.4781199553203346,220015.7894736842,38.1602409638554
2021-02,IDRV,45.84779871258266,0.6066589246649337,186910.52631578947,-8.012414897877456
2021-03,IDRV,44.97180753172886,0.27254740743474803,105873.91304347826,-3.408587257617729
2021-04,IDRV,46.681916427472395,0.31424715553198124,100938.09523809524,0.76829268292683
2021-05,IDRV,45.489996357205555,0.11111315956742196,62740.0,-12.360784313725485
2021-06,IDRV,48.22193660706025,0.794260958774152,58945.454545454544,39.70841889117042
2021-07,IDRV,48.35887193669161,0.5500739559936292,49004.76190476191,-15.680819912152272
2021-08,IDRV,49.25802890460012,0.41942504425907545,57077.27272727273,43.10982658959536
2021-09,IDRV,48.7526701322969,-0.16955578292004714,46457.142857142855,-7.0546875
2021-10,IDRV,49.32940453989793,-0.8421682309467867,59033.333333333336,-6.207352941176471
2021-11,IDRV,54.71422813965618,2.171663575081196,158247.61904761905,47.30480167014613
2021-12,IDRV,53.75592662588909,1.2536090369202273,126890.90909090909,1.0449293966623894
2022-01,IDRV,52.664089464463245,-0.18035928194035877,146200.0,-5.894607843137257
2022-02,IDRV,49.1406673043312,-1.716062632547183,87047.36842105263,-2.608166811468289
2022-03,IDRV,44.885369131846424,-1.490488306443373,97591.30434782608,-8.315206445115807
2022-04,IDRV,43.3366453859898,-0.1822411443772065,76120.0,-3.690851735015774
2022-05,IDRV,40.506228076841076,-2.335329170334146,73380.95238095238,9.382978723404257
2022-06,IDRV,39.637338963262515,0.5265169646066754,72171.42857142857,33.24064171122994
2022-07,IDRV,38.48225021362305,-2.550090591792763,61335.0,-14.751552795031058
2022-08,IDRV,41.597466786702476,0.3921482079624934,63339.0,1.905325443786982
