Date,ETF,Average High,High (Percent Change),Average Volume,Volume (Percent Change)
2010-07,LIT,28.256131705312427,0.0,122291.66666666667,0.0
2010-08,LIT,28.577320884167637,1.2973312324650719,47202.27272727273,-17.189573459715636
2010-09,LIT,30.67759695930062,-0.5169997865953914,45742.857142857145,-7.779310344827582
2010-10,LIT,33.50730523246468,2.902645546982415,73666.66666666667,-0.16431924882629112
2010-11,LIT,35.050265330076485,1.3083460761515473,83585.71428571429,7.154574132492112
2010-12,LIT,36.91679164178699,0.6669932953086986,101679.54545454546,51.19529411764707
2011-01,LIT,39.25146802220163,3.1025493543996774,111220.0,19.22913719943423
2011-02,LIT,39.497032135699996,-0.995773425202875,95610.52631578948,-12.700919415900488
2011-03,LIT,37.24406080211923,0.13335949695113047,68028.26086956522,-6.015769439912996
2011-04,LIT,38.36657655362021,-0.2838131360312679,40435.0,-2.1796759941089836
2011-05,LIT,35.92004639726311,0.4251014031701872,44288.09523809524,25.512396694214885
2011-06,LIT,33.69749202136856,-1.8236335765372735,31784.090909090908,-18.39626865671642
2011-07,LIT,34.75635628944093,-0.6923002683569757,27020.0,-2.3690205011389507
2011-08,LIT,30.046096106501462,0.5497954137464414,34839.13043478261,11.767441860465123
2011-09,LIT,27.874079372871044,-2.543289840302976,20688.095238095237,-13.030769230769225
2011-10,LIT,26.130309117034347,-5.415604778139214,15047.619047619048,32.35135135135135
2011-11,LIT,27.066612084050483,3.3355711698724244,16278.57142857143,-4.6914893617021285
2011-12,LIT,25.694051999138722,0.20270172733459835,21838.095238095237,1.4863013698630119
2012-01,LIT,27.26805261058241,-1.0090233798281045,10270.0,-11.513859275053306
2012-02,LIT,29.485177602692033,2.809136102962327,12880.0,3.216080402010049
2012-03,LIT,28.724594084865576,-0.05185698818562301,10270.454545454546,-6.7619047619047645
2012-04,LIT,27.717516813631658,0.0826926216225976,13075.0,0.0
2012-05,LIT,25.01030192614884,-1.2941153293450056,12747.727272727272,-3.0250000000000004
2012-06,LIT,24.650061364416842,-3.412502343989551,13626.190476190477,77.76086956521742
2012-07,LIT,24.853822002618454,2.585825318775779,10730.952380952382,-16.761171032357474
2012-08,LIT,24.853857718321034,-1.4518294384006185,15260.869565217392,-4.213740458015265
2012-09,LIT,26.75987830995411,0.5120564493899395,13115.78947368421,53.44859813084112
2012-10,LIT,26.148685154853236,1.7548354385031872,9792.857142857143,-12.66176470588236
2012-11,LIT,24.7733027459988,-1.5927364271554807,10109.52380952381,2.8518518518518494
2012-12,LIT,24.863578019501833,-0.33103010952208356,9787.5,-3.8043478260869543
2013-01,LIT,26.310324367174736,1.394530475701077,10233.333333333334,2.8187919463087265
2013-02,LIT,25.771710180948038,0.012803890725728184,9515.78947368421,-9.55621301775148
2013-03,LIT,25.192114352078566,-0.5521865669791826,9642.5,36.666666666666664
2013-04,LIT,22.825574067280954,-1.0512492990011486,9372.727272727272,-14.142857142857135
2013-05,LIT,22.75565589990872,-1.8879977882245735,12304.545454545454,117.50588235294121
2013-06,LIT,21.221064766447878,0.06364301827596286,10630.0,-9.72170686456401
2013-07,LIT,21.088863293685332,-1.8842214498689809,8225.0,-5.559566787003611
2013-08,LIT,20.834103113257605,0.9349603962024164,9434.09090909091,-3.8260869565217375
2013-09,LIT,22.912210130392946,-0.41597867751560047,11607.5,8.888888888888891
2013-10,LIT,23.777248539770564,3.478335945964665,12493.478260869566,23.931174089068836
2013-11,LIT,22.732750858675413,-0.7970469429420968,15987.5,-10.277777777777782
2013-12,LIT,22.72093553981641,-0.30668881783813773,11128.57142857143,-2.914285714285713
2014-01,LIT,23.036067594797693,0.4136553081263272,10166.666666666666,2.985781990521325
2014-02,LIT,22.915011370054845,-1.0644629987292873,29971.052631578947,3.7053941908713703
2014-03,LIT,24.841144861511278,3.4829266412114217,45938.09523809524,145.61458333333326
2014-04,LIT,23.946630534826923,-0.8054420117278085,11480.952380952382,-19.382494529540487
2014-05,LIT,23.344374783788084,-0.8375629250049177,12547.619047619048,4.295454545454547
2014-06,LIT,24.273521565519975,0.269636003450775,11435.714285714286,16.542452830188683
2014-07,LIT,24.77468494888625,0.7382553562704763,12640.90909090909,1.509234828496044
2014-08,LIT,24.097828104964176,-0.39393524963630744,6930.952380952381,-14.518518518518512
2014-09,LIT,23.763336350699763,0.231618900403606,19576.190476190477,-4.536000000000001
2014-10,LIT,21.288979222296057,-2.124368428727325,11386.95652173913,2.8163265306122414
2014-11,LIT,21.47261202577775,-0.6546448127069469,5278.9473684210525,3.2818181818181813
2014-12,LIT,20.367140082401797,-0.3103754689090725,9336.363636363636,0.8527131782945752
2015-01,LIT,20.025290947944967,-0.8617027243586994,7627.5,-8.507462686567168
2015-02,LIT,20.822649588739175,-0.27021883560089366,5407.894736842105,-3.7012987012987004
2015-03,LIT,20.86334333101343,1.9044183349515014,5504.545454545455,9.935483870967737
2015-04,LIT,21.682713091083695,-1.132782182717036,12435.714285714286,-6.766666666666663
2015-05,LIT,22.94430101127154,2.438594604601967,20045.0,392.78688524590166
2015-06,LIT,21.86630373138497,-0.5504286224288077,13909.09090909091,6.115965051628276
2015-07,LIT,19.287615166826104,-1.4290277720748144,9404.545454545454,-19.415786202610317
2015-08,LIT,17.616404284896475,-2.5394513904847136,11140.47619047619,-8.333333333333336
2015-09,LIT,16.796996001397638,-1.9668309527324164,6961.9047619047615,7.552631578947365
2015-10,LIT,18.278137024097653,0.30785355922085245,9981.818181818182,-1.2774193548387105
2015-11,LIT,18.556823125956043,2.3779230264541606,19532.5,13.972602739726023
