Date,ETF,Average High,High (Percent Change),Average Volume,Volume (Percent Change),Average Price of Oil,Price of Oil (Percent Change)
2020-04,LIT,23.570966131227546,-5.768211377759091,186157.1428571429,-15.219459846181364,17.660476190476192,-4.23529411764706
2020-05,DRIV,12.789388643593938,2.8765999186651783,16445.0,10.338983050847462,25.1705,12.144044321329643
2020-05,IDRV,23.97547714402172,3.1838338759010916,6335.0,-3.2727272727272725,25.1705,12.144044321329643
2020-05,HAIL,24.95227796792643,4.41379482818669,3480.0,-3.7037037037037033,25.1705,12.144044321329643
2020-05,KARS,21.165744395071087,3.888887786027799,4160.0,105.0,25.1705,12.144044321329643
2020-05,LIT,26.045344205800056,3.3786975982563034,219725.0,6.029889538661468,25.1705,12.144044321329643
2020-06,DRIV,14.356871382898657,2.4212384383919003,25831.818181818184,-7.497206703910616,37.05318181818184,6.9844881075491205
2020-06,IDRV,27.25470048954655,2.9370758058511024,16127.272727272728,23.43478260869565,37.05318181818184,6.9844881075491205
2020-06,HAIL,29.70300875184197,2.556899995986893,5754.545454545455,12.999999999999993,37.05318181818184,6.9844881075491205
2020-06,KARS,23.770220717068852,2.5581392367616447,9531.818181818182,14.080000000000002,37.05318181818184,6.9844881075491205
2020-06,LIT,31.06659138256089,3.9919723344639535,317836.36363636365,3.6245631552671016,37.05318181818184,6.9844881075491205
2020-07,DRIV,15.541915225449861,1.361980512324268,28986.363636363636,8.203389830508472,43.42434782608696,2.8885400313971763
2020-07,IDRV,29.209213597606865,1.3268478946064852,25240.90909090909,-11.578947368421053,43.42434782608696,2.8885400313971763
2020-07,HAIL,33.35537998691441,3.351247420388765,17040.909090909092,32.05714285714284,43.42434782608696,2.8885400313971763
2020-07,KARS,25.803555766409048,1.2374996849755109,10036.363636363636,-7.512195121951223,43.42434782608696,2.8885400313971763
2020-07,LIT,35.690411866800154,2.0901731594800568,381631.8181818182,6.223746249464205,43.42434782608696,2.8885400313971763
2020-08,DRIV,16.586376303624053,1.8986286421962308,67719.04761904763,74.53703703703702,45.19238095238097,1.5864714086471403
2020-08,IDRV,31.71973427562741,1.8771373128485207,44933.33333333334,234.26666666666677,45.19238095238097,1.5864714086471403
2020-08,HAIL,35.49533309054028,1.4922573251573892,11276.190476190475,-4.395348837209301,45.19238095238097,1.5864714086471403
2020-08,KARS,27.52489982543768,2.1952676261442585,14576.190476190475,45.49999999999999,45.19238095238097,1.5864714086471403
2020-08,LIT,38.3716565361157,3.596069181982746,339509.5238095238,15.22552622786502,45.19238095238097,1.5864714086471403
2020-09,DRIV,16.898155088122298,2.2688456525092597,76500.0,21.4843962008141,41.53545454545454,-2.6721417765290703
2020-09,IDRV,32.711049203978966,2.6567496296725515,35428.57142857143,1.2285191956124322,41.53545454545454,-2.6721417765290703
2020-09,HAIL,37.1380347041631,2.841405785304187,24395.23809523809,155.95588235294116,41.53545454545454,-2.6721417765290703
2020-09,KARS,27.443622786199175,1.7399994168526391,12266.666666666664,-12.403508771929829,41.53545454545454,-2.6721417765290703
2020-09,LIT,39.10354692321933,1.6106551815396577,453319.0476190476,-4.461940732132481,41.53545454545454,-2.6721417765290703
2020-10,DRIV,17.809755373145627,-0.5736954883192702,82763.63636363638,-12.645204560697513,40.07772727272729,-2.2460024600246
2020-10,IDRV,34.161109835774845,-0.2668611975325452,32800.0,-15.388601036269437,40.07772727272729,-2.2460024600246
