Date,Average High,Average High (Percent Change),Average Volume,Average Volume (Percent Change),Average Price of Oil,Average Price of Oil (Percent Change)
2020-01,24.792435759645088,1.653931712029074,52191.428571428565,62.03280051150896,65.10318181818182,-2.9199529134785163
2020-02,25.61000615057954,0.13394884901575072,146591.57894736843,6.74809247764492,55.527,-2.96912114014252
2020-03,19.685299302123532,-0.7754307257162295,91254.54545454546,79.93606701212471,33.91954545454545,-12.089260808926086
2020-04,19.83303747799241,-5.324617999754109,44006.66666666667,-0.40174941958579674,17.660476190476192,-4.23529411764706
2020-05,21.78564647128265,3.548362801407412,50029.0,22.87848832261559,25.1705,12.144044321329643
2020-06,25.23027854478338,2.893065162291099,75016.36363636363,9.328427812010426,37.05318181818184,6.9844881075491205
2020-07,27.920095288636066,1.8735497343550171,92587.27272727274,5.478627289348649,43.42434782608696,2.8885400313971763
2020-08,29.939600006269025,2.2118720176658293,95602.85714285713,73.0267762188719,45.19238095238097,1.5864714086471403
2020-09,30.658881741136575,2.2235311331756593,120381.90476190476,32.36066964906107,41.53545454545454,-2.6721417765290703
2020-10,32.56498153452246,-0.255886331120531,111150.90909090909,-8.105256047813917,40.07772727272729,-2.2460024600246
2020-11,37.57774335283366,0.8604037245769565,248949.0,19.009462475016914,42.61190476190476,5.713150684931506
2020-12,37.212037827754706,4.569887136852267,254071.46464646465,25.377076635568287,49.16727272727274,1.8052982985138926
2021-01,43.492835854635246,2.3170912131140136,703304.3859649124,29.321283844859604,54.38099999999999,1.6600318471337558
2021-02,44.22536457374582,0.9713647603161416,519606.14035087713,-3.769291833056782,61.0525,3.661091711082527
2021-03,40.887817304668545,-0.4726667148213706,320783.3333333333,-5.453279443876371,64.5604347826087,-0.46450209725027364
2021-04,41.56050747995329,-0.6651233743992911,218153.17460317464,8.096195984925739,63.240952380952386,0.7824639289678154
2021-05,40.378620452280884,0.14355045836659472,170759.16666666666,-9.526904892922806,66.90952380952378,0.9983185570162006
2021-06,43.415247546609265,0.40628510959106806,172150.7575757576,5.38627133447482,71.89363636363636,1.6276083467094675
2021-07,44.74031891412084,0.8854791117116582,230632.53968253967,-6.3733258362158045,73.52545454545456,0.412500000000001
2021-08,45.926941338489534,0.7509032381770879,275168.1818181818,27.572255977273546,70.3340909090909,-1.0416110962923435
2021-09,45.50155121355953,-0.11714799058613967,218809.52380952382,-6.136273181078742,73.88181818181816,1.937281254374909
2021-10,46.50109587865244,-0.8129815034032585,233657.93650793654,9.49737850989919,82.1095238095238,1.3915337107565655
2021-11,51.79247199500091,3.7670173248142134,399510.31746031746,1260.1865276825404,80.37045454545456,-3.148545915289008
2021-12,48.63688226901882,0.5564960125108498,326916.6666666667,3.7898210206419995,74.37782608695652,2.254330376003377
2022-01,46.047556493588125,-0.7769125944467565,357835.0,-1.2044777835018028,85.24285714285715,3.436706425548293
2022-02,42.86671804992733,-2.310542932953624,216670.1754385965,-5.984572668339351,93.954,1.8141739226275762
2022-03,40.35056261479999,-1.102273624089612,226792.75362318844,-2.7241175638489135,113.47652173913043,2.0406224737267564
2022-04,39.15777737041501,0.5820965663107829,200258.33333333334,-3.389169935960764,105.6365,0.046408019305737014
2022-05,36.42639239788465,-3.094845342471086,198696.03174603175,1.602620962439828,113.87090909090908,3.0456523752199267
2022-06,36.9983527816694,0.6432899747345895,161271.42857142858,33.816095218532816,117.72363636363637,-1.3134862534569711
2022-07,36.028191773096715,-2.141003812800188,130445.0,-6.551874228954957,108.60333333333334,-0.8538062283737003
