Date,ETF name,Year Month Day,Open,High,Low,Close,Volume
2017-12-27,HAIL,2017-12-27,28.151134490966793,28.151134490966793,28.151134490966793,28.151134490966797,200
2017-12-28,HAIL,2017-12-28,28.076284408569332,28.076284408569332,28.076284408569332,28.076284408569336,800
2017-12-29,HAIL,2017-12-29,28.010797838762148,28.057575343652374,27.966825485229492,27.966825485229492,20200
2018-01-02,HAIL,2018-01-02,28.055698005692047,28.20725822448731,28.055698005692047,28.207258224487305,78700
2018-01-03,HAIL,2018-01-03,28.20725822448731,28.20725822448731,28.20725822448731,28.207258224487305,0
2018-01-04,HAIL,2018-01-04,28.20725822448731,28.20725822448731,28.20725822448731,28.207258224487305,0
2018-01-05,HAIL,2018-01-05,29.376721705726172,29.376721705726172,29.18493107573986,29.25322723388672,2100
2018-01-08,HAIL,2018-01-08,29.292518559276342,29.404787063598633,29.255096914133805,29.404787063598633,3000
2018-01-09,HAIL,2018-01-09,29.423497806560427,29.423497806560427,29.37671852111816,29.376718521118164,2800
2018-01-10,HAIL,2018-01-10,29.376720988534053,29.376720988534053,29.142829895019535,29.14282989501953,2200
2018-01-11,HAIL,2018-01-11,29.441278560593062,29.535770416259766,29.441278560593062,29.535770416259766,1400
2018-01-12,HAIL,2018-01-12,29.717264167650395,29.760299682617188,29.717264167650395,29.760299682617188,1700
2018-01-16,HAIL,2018-01-16,30.040970828685726,30.040970828685726,29.3018741607666,29.3018741607666,6800
2018-01-17,HAIL,2018-01-17,29.336492347423633,29.582546234130856,29.283164136090917,29.58254623413086,2700
2018-01-18,HAIL,2018-01-18,29.64803545467329,29.64803545467329,29.582546234130856,29.58254623413086,4100
2018-01-19,HAIL,2018-01-19,29.797722747376497,29.88192367553711,29.797722747376497,29.88192367553711,400
2018-01-22,HAIL,2018-01-22,29.92870193660297,29.966123580932617,29.84450100630213,29.966123580932617,3900
2018-01-23,HAIL,2018-01-23,30.031613266636143,30.031613266636143,29.938058262124862,30.01290512084961,2100
2018-01-24,HAIL,2018-01-24,30.053136399606316,30.053136399606316,29.87724876403809,29.877248764038086,1400
2018-01-25,HAIL,2018-01-25,31.491098279122347,31.491098279122347,29.863216400146484,29.863216400146484,1500
2018-01-26,HAIL,2018-01-26,29.938056822676383,30.020387649536133,29.938056822676383,30.020387649536133,400
2018-01-29,HAIL,2018-01-29,30.312289538575648,30.312289538575648,30.092431322302758,30.274866104125977,1500
2018-01-30,HAIL,2018-01-30,29.944609792907066,29.98109817504883,29.944609792907066,29.981098175048828,700
2018-01-31,HAIL,2018-01-31,29.947412490844727,29.947412490844727,29.947412490844727,29.947412490844727,300
2018-02-01,HAIL,2018-02-01,30.031609424243314,30.162591410253135,29.965185165405273,29.965185165405273,600
2018-02-02,HAIL,2018-02-02,29.438466927424475,29.438466927424475,29.124116897583008,29.124116897583008,400
2018-02-05,HAIL,2018-02-05,29.058629396214357,29.058629396214357,28.4224453267625,28.478580474853516,1500
2018-02-06,HAIL,2018-02-06,27.964018019431386,28.151131604340854,27.795616149902344,27.795616149902344,1800
2018-02-07,HAIL,2018-02-07,28.64698028564453,28.64698028564453,28.64698028564453,28.64698028564453,200
2018-02-08,HAIL,2018-02-08,28.6002016229216,28.62826919555664,28.6002016229216,28.62826919555664,300
2018-02-09,HAIL,2018-02-09,27.692705937656953,27.833040237426758,27.692705937656953,27.833040237426758,600
2018-02-12,HAIL,2018-02-12,27.833040237426758,27.833040237426758,27.833040237426758,27.833040237426758,0
2018-02-13,HAIL,2018-02-13,27.833040237426758,27.833040237426758,27.833040237426758,27.833040237426758,0
2018-02-14,HAIL,2018-02-14,27.833040237426758,27.833040237426758,27.833040237426758,27.833040237426758,0
2018-02-15,HAIL,2018-02-15,27.833040237426758,27.833040237426758,27.833040237426758,27.833040237426758,0
2018-02-16,HAIL,2018-02-16,27.833040237426758,27.833040237426758,27.833040237426758,27.833040237426758,0
2018-02-20,HAIL,2018-02-20,28.731176376342773,28.731176376342773,28.731176376342773,28.731176376342773,400
2018-02-21,HAIL,2018-02-21,28.731176376342773,28.731176376342773,28.731176376342773,28.731176376342773,0
2018-02-22,HAIL,2018-02-22,28.717145919799805,28.717145919799805,28.717145919799805,28.717145919799805,500
2018-02-23,HAIL,2018-02-23,28.717145919799805,28.717145919799805,28.717145919799805,28.717145919799805,0
2018-02-26,HAIL,2018-02-26,29.245737199716416,29.245737199716416,29.077335357666016,29.077335357666016,300
2018-02-27,HAIL,2018-02-27,29.301873775677876,29.301873775677876,29.053014755249023,29.053014755249023,2000
2018-02-28,HAIL,2018-02-28,28.75924700484059,28.899581296059324,28.64698028564453,28.64698028564453,2000
2018-03-01,HAIL,2018-03-01,28.000505447387695,28.000505447387695,28.000505447387695,28.000505447387695,200
2018-03-02,HAIL,2018-03-02,28.000505447387695,28.000505447387695,28.000505447387695,28.000505447387695,0
2018-03-05,HAIL,2018-03-05,27.964013427161294,28.553419873720195,27.964013427161294,28.543128967285156,1500
2018-03-06,HAIL,2018-03-06,28.54312896728516,28.54312896728516,28.54312896728516,28.543128967285156,0
2018-03-07,HAIL,2018-03-07,28.54312896728516,28.54312896728516,28.54312896728516,28.543128967285156,0
2018-03-08,HAIL,2018-03-08,29.117568969726562,29.117568969726562,29.117568969726562,29.117568969726562,300
2018-03-09,HAIL,2018-03-09,29.378590463803544,29.39823722839356,29.358006864389758,29.398237228393555,2300
2018-03-12,HAIL,2018-03-12,29.67516237588096,29.67516237588096,29.633996963500973,29.633996963500977,900
2018-03-13,HAIL,2018-03-13,29.638677820238478,29.68545532226562,29.638677820238478,29.685455322265625,3400
2018-03-14,HAIL,2018-03-14,29.582543318756866,29.582543318756866,29.227027893066406,29.227027893066406,1000
2018-03-15,HAIL,2018-03-15,29.227027893066406,29.227027893066406,29.227027893066406,29.227027893066406,0
2018-03-16,HAIL,2018-03-16,29.198960633955377,29.217672348022457,29.198960633955377,29.21767234802246,500
2018-03-19,HAIL,2018-03-19,29.24295172963348,29.24295172963348,28.709218978881832,28.709218978881836,300
2018-03-20,HAIL,2018-03-20,29.20549905934592,29.20549905934592,28.952677706982385,29.008859634399414,1000
2018-03-21,HAIL,2018-03-21,29.008859634399414,29.008859634399414,29.008859634399414,29.008859634399414,0
2018-03-22,HAIL,2018-03-22,28.407705307006836,28.407705307006836,28.407705307006836,28.407705307006836,300
2018-03-23,HAIL,2018-03-23,28.407705307006836,28.407705307006836,28.407705307006836,28.407705307006836,0
2018-03-26,HAIL,2018-03-26,27.866487253655613,27.866487253655613,27.824350357055668,27.824350357055664,200
2018-03-27,HAIL,2018-03-27,27.54812049865723,27.54812049865723,27.54812049865723,27.548120498657227,800
2018-03-28,HAIL,2018-03-28,27.448858221960563,27.448858221960563,27.4460506439209,27.4460506439209,200
2018-03-29,HAIL,2018-03-29,27.4460506439209,27.4460506439209,27.4460506439209,27.4460506439209,0
2018-04-02,HAIL,2018-04-02,27.56684692521685,27.56684692521685,27.520027160644535,27.52002716064453,3400
2018-04-03,HAIL,2018-04-03,27.520027160644535,27.520027160644535,27.520027160644535,27.52002716064453,0
2018-04-04,HAIL,2018-04-04,27.18293096587824,27.59961700439453,27.18293096587824,27.59961700439453,1600
2018-04-05,HAIL,2018-04-05,27.59961700439453,27.59961700439453,27.59961700439453,27.59961700439453,0
2018-04-06,HAIL,2018-04-06,27.471337345674435,27.471337345674435,27.4151554107666,27.4151554107666,500
2018-04-09,HAIL,2018-04-09,27.4151554107666,27.4151554107666,27.4151554107666,27.4151554107666,0
2018-04-10,HAIL,2018-04-10,27.4151554107666,27.4151554107666,27.4151554107666,27.4151554107666,0
2018-04-11,HAIL,2018-04-11,27.4151554107666,27.4151554107666,27.4151554107666,27.4151554107666,0
2018-04-12,HAIL,2018-04-12,27.4151554107666,27.4151554107666,27.4151554107666,27.4151554107666,0
2018-04-13,HAIL,2018-04-13,28.1193073427063,28.1193073427063,28.109943389892578,28.109943389892578,400
2018-04-16,HAIL,2018-04-16,28.269124078728435,28.288787841796875,28.269124078728435,28.288787841796875,400
2018-04-17,HAIL,2018-04-17,28.288787841796875,28.288787841796875,28.288787841796875,28.288787841796875,0
2018-04-18,HAIL,2018-04-18,28.840316195668862,28.840316195668862,28.8028621673584,28.8028621673584,1000
2018-04-19,HAIL,2018-04-19,28.69986094395507,28.69986094395507,28.4002215684945,28.43767738342285,1200
2018-04-20,HAIL,2018-04-20,28.138975143432617,28.138975143432617,28.138975143432617,28.138975143432617,300
2018-04-23,HAIL,2018-04-23,28.250399619609176,28.250399619609176,27.98259735107422,27.98259735107422,1500
2018-04-24,HAIL,2018-04-24,28.20639377935596,28.20639377935596,27.52003181008997,27.62303352355957,3000
2018-04-25,HAIL,2018-04-25,27.6230306901071,27.679212625331388,27.4076651167544,27.566848754882812,2700
2018-04-26,HAIL,2018-04-26,27.997583042229387,28.00694699681576,27.969492964461985,27.97885513305664,2500
2018-04-27,HAIL,2018-04-27,28.61558831122134,28.61558831122134,27.754124178708537,27.838397979736328,11200
2018-04-30,HAIL,2018-04-30,27.83839910703098,27.847763061523434,27.83839910703098,27.847763061523438,700
2018-05-01,HAIL,2018-05-01,27.458225570559676,27.47320825191384,27.458225570559676,27.463844299316406,900
2018-05-02,HAIL,2018-05-02,28.194217382146064,28.194217382146064,27.90394020080566,27.903940200805664,600
2018-05-03,HAIL,2018-05-03,27.90394020080566,27.90394020080566,27.90394020080566,27.903940200805664,0
2018-05-04,HAIL,2018-05-04,27.68857206221113,28.035031142560246,27.64175408815992,28.025667190551758,1900
2018-05-07,HAIL,2018-05-07,28.138037361864466,28.287857055664062,28.138037361864466,28.287857055664062,700
2018-05-08,HAIL,2018-05-08,28.20358657836914,28.20358657836914,28.20358657836914,28.20358657836914,300
2018-05-09,HAIL,2018-05-09,28.221372674885625,28.221372674885625,28.10994466752316,28.18485450744629,6400
2018-05-10,HAIL,2018-05-10,28.54067378252714,28.615583617153536,28.54067378252714,28.56876564025879,1500
2018-05-11,HAIL,2018-05-11,28.46857261657715,28.46857261657715,28.46857261657715,28.46857261657715,400
2018-05-14,HAIL,2018-05-14,28.772895520062903,28.772895520062903,28.56876564025879,28.56876564025879,1900
2018-05-15,HAIL,2018-05-15,28.372126762309176,28.409582573349663,28.278490806690705,28.318754196166992,7200
2018-05-16,HAIL,2018-05-16,28.447036543905668,28.690493957228348,28.447036543905668,28.653039932250977,10400
2018-05-17,HAIL,2018-05-17,28.751356917242,28.751356917242,28.606218338012695,28.606218338012695,1000
2018-05-18,HAIL,2018-05-18,28.503223419189453,28.503223419189453,28.503223419189453,28.503223419189453,200
2018-05-21,HAIL,2018-05-21,28.59685707092285,28.59685707092285,28.59685707092285,28.59685707092285,400
2018-05-22,HAIL,2018-05-22,28.63431167602539,28.63431167602539,28.63431167602539,28.63431167602539,700
2018-05-23,HAIL,2018-05-23,28.63431167602539,28.63431167602539,28.63431167602539,28.63431167602539,0
2018-05-24,HAIL,2018-05-24,28.372128513015564,28.372128513015564,28.20170920584317,28.315946578979492,1000
2018-05-25,HAIL,2018-05-25,28.289724252683204,28.315942603952237,28.289724252683204,28.313133239746094,1900
2018-05-29,HAIL,2018-05-29,27.913304576381027,28.035034179687504,27.913304576381027,28.0350341796875,3400
2018-05-30,HAIL,2018-05-30,28.2784916237127,28.2784916237127,27.88521452638189,28.259763717651367,2100
2018-05-31,HAIL,2018-05-31,28.259765706558827,28.306583689015753,28.21294593811035,28.21294593811035,1800
2018-06-01,HAIL,2018-06-01,28.503220184716753,28.540674209594723,28.47700183150476,28.540674209594727,700
2018-06-04,HAIL,2018-06-04,28.71764933046141,28.727949142456055,28.6680202034097,28.727949142456055,1500
2018-06-05,HAIL,2018-06-05,28.65303969006765,28.971406936645508,28.65303969006765,28.971406936645508,4900
2018-06-06,HAIL,2018-06-06,28.924590349552535,29.046319961547848,28.887136320778893,29.04631996154785,2300
2018-06-07,HAIL,2018-06-07,29.046319961547848,29.177411741242913,29.046319961547848,29.04631996154785,1800
2018-06-08,HAIL,2018-06-08,29.007923856485867,29.121225357055664,29.007923856485867,29.121225357055664,1400
2018-06-11,HAIL,2018-06-11,29.317864516553193,29.38341039978736,29.19613670283136,29.374048233032227,2700
2018-06-12,HAIL,2018-06-12,29.44896394545978,29.44896394545978,29.439599990844727,29.439599990844727,300
2018-06-13,HAIL,2018-06-13,29.77669144938934,29.77669144938934,29.40307807922363,29.403078079223633,1200
2018-06-14,HAIL,2018-06-14,29.757966015042985,29.757966015042985,29.580054457045364,29.589418411254883,2000
2018-06-15,HAIL,2018-06-15,29.41150489214549,29.509823725802256,29.383413031390045,29.47705078125,18700
2018-06-18,HAIL,2018-06-18,29.50798225402832,29.50798225402832,29.50798225402832,29.50798225402832,0
2018-06-19,HAIL,2018-06-19,29.30082867196848,29.30176551359863,29.1939697265625,29.1939697265625,1200
2018-06-20,HAIL,2018-06-20,29.479860305786133,29.479860305786133,29.479860305786133,29.479860305786133,700
2018-06-21,HAIL,2018-06-21,29.06742383781078,29.100231170654297,29.06742383781078,29.100231170654297,300
2018-06-22,HAIL,2018-06-22,29.48923152377908,29.48923152377908,28.939942045752773,28.97368621826172,900
2018-06-25,HAIL,2018-06-25,28.277234610643855,28.277234610643855,28.242551803588867,28.242551803588867,900
2018-06-26,HAIL,2018-06-26,28.28191757202148,28.28191757202148,28.28191757202148,28.281917572021484,200
2018-06-27,HAIL,2018-06-27,28.58937374082934,28.58937374082934,27.886356353759766,27.886356353759766,300
2018-06-28,HAIL,2018-06-28,27.658574125954228,27.7823051370475,27.658574125954228,27.769182205200195,1100
2018-06-29,HAIL,2018-06-29,27.745751783163296,28.120694012422483,27.745751783163296,28.064453125,1300
2018-07-02,HAIL,2018-07-02,27.970720291137695,27.970720291137695,27.970720291137695,27.970720291137695,400
2018-07-03,HAIL,2018-07-03,27.876985781781688,27.876985781781688,27.858238220214844,27.858238220214844,400
2018-07-05,HAIL,2018-07-05,28.261296935873506,28.261296935873506,27.9332218170166,27.9332218170166,700
2018-07-06,HAIL,2018-07-06,28.345661163330078,28.345661163330078,28.345661163330078,28.345661163330078,200
2018-07-09,HAIL,2018-07-09,28.345661163330078,28.345661163330078,28.345661163330078,28.345661163330078,0
2018-07-10,HAIL,2018-07-10,28.927759876336406,28.927759876336406,28.853708267211914,28.853708267211914,1100
2018-07-11,HAIL,2018-07-11,28.486265763758176,28.486265763758176,28.44877243041992,28.448772430419922,500
